ItemID,FeatureID,Value
0,0,1.0000
0,1,1.0000
0,2,1.0000
0,3,1.0000
0,4,1.0000
0,8,1.0000
0,13,1.0000
0,31,1.0000
0,36,1.0000
0,72,1.0000
0,98,1.0000
0,158,1.0000
0,344,3.0000
0,356,1.0000
0,374,1.0000
1,0,1.0000
1,1,1.0000
1,2,1.0000
1,3,1.0000
1,4,1.0000
1,10,1.0000
1,45,1.0000
1,65,1.0000
1,162,1.0000
2,0,1.0000
2,1,1.0000
2,2,1.0000
2,3,1.0000
2,4,1.0000
2,10,1.0000
2,25,1.0000
2,26,1.0000
2,72,1.0000
2,211,1.0000
2,242,2.0000
2,329,1.0000
3,0,1.0000
3,1,1.0000
3,2,1.0000
3,3,1.0000
3,4,1.0000
3,10,1.0000
3,19,1.0000
3,25,1.0000
3,26,1.0000
3,72,1.0000
3,97,1.0000
3,129,1.0000
3,160,1.0000
3,209,1.0000
3,211,1.0000
3,242,3.0000
3,260,1.0000
3,329,2.0000
4,0,1.0000
4,1,1.0000
4,2,1.0000
4,3,1.0000
4,4,1.0000
4,50,1.0000
4,147,1.0000
5,0,1.0000
5,1,1.0000
5,2,1.0000
5,3,1.0000
5,4,1.0000
5,5,1.0000
5,27,1.0000
6,0,1.0000
6,1,1.0000
6,2,1.0000
6,3,1.0000
6,4,1.0000
6,6,1.0000
6,18,1.0000
6,19,1.0000
6,65,1.0000
6,72,1.0000
6,87,1.0000
6,107,1.0000
6,112,1.0000
6,271,1.0000
6,281,1.0000
7,0,1.0000
7,1,1.0000
7,2,1.0000
7,3,1.0000
7,5,1.0000
7,26,1.0000
8,0,1.0000
8,1,1.0000
8,2,1.0000
8,3,1.0000
8,4,1.0000
8,21,1.0000
8,33,1.0000
8,90,1.0000
8,132,1.0000
8,152,1.0000
8,182,1.0000
9,0,1.0000
9,1,1.0000
9,2,1.0000
9,3,1.0000
9,6,1.0000
9,18,1.0000
9,141,1.0000
9,144,1.0000
9,388,1.0000
10,0,1.0000
10,1,1.0000
10,2,1.0000
10,3,1.0000
10,4,1.0000
10,17,1.0000
10,18,1.0000
10,33,1.0000
11,0,1.0000
11,1,1.0000
11,2,1.0000
11,3,1.0000
11,4,1.0000
11,5,1.0000
11,54,1.0000
11,177,1.0000
11,328,1.0000
11,378,1.0000
12,0,1.0000
12,1,1.0000
12,2,1.0000
12,3,1.0000
12,4,1.0000
12,8,1.0000
12,9,1.0000
12,10,1.0000
12,24,1.0000
12,43,1.0000
12,84,1.0000
12,87,1.0000
12,119,1.0000
12,137,1.0000
12,141,1.0000
12,149,1.0000
12,226,1.0000
12,284,1.0000
12,349,1.0000
12,392,1.0000
13,0,1.0000
13,1,1.0000
13,2,1.0000
13,3,1.0000
13,5,1.0000
13,40,1.0000
14,0,1.0000
14,1,1.0000
